url_length,domain_length,path_length,digit_count,hyphen_count,dot_count,special_character_count,subdomain_count,has_https,has_punycode,has_unicode_lookalike,domain_age_days,brand_similarity,form_count,input_count,password_field_count,email_field_count,button_count,image_count,script_count,iframe_count,external_link_count,html_similarity,visual_similarity,label
19,11,1,0,0,1,0,0,1,0,0,4200,0.0,0,0,0,0,1,4,8,0,5,,,0
23,15,1,0,0,2,0,1,1,0,0,2100,0.0,1,2,0,1,1,7,12,0,9,,,0
24,14,5,0,0,1,0,0,1,0,0,3500,0.0,0,1,0,0,2,5,7,0,6,,,0
28,16,6,0,0,1,0,0,1,0,0,1800,0.0,1,2,1,1,1,8,15,0,12,,,0
18,10,1,0,0,1,0,0,1,0,0,5000,0.0,0,0,0,0,1,3,5,0,3,,,0
31,18,8,0,1,1,0,0,1,0,0,900,0.0,1,3,1,1,2,6,11,0,8,,,0
22,12,4,0,0,1,0,0,1,0,0,2800,0.0,0,1,0,0,1,4,9,0,5,,,0
29,17,3,0,0,2,0,1,1,0,0,1300,0.0,2,4,1,1,2,9,16,0,10,,,0
20,12,1,0,0,1,0,0,1,0,0,6000,0.0,0,0,0,0,1,2,4,0,2,,,0
25,13,7,0,0,1,0,0,1,0,0,2400,0.0,1,2,0,1,1,5,10,0,7,,,0
36,22,7,1,1,1,0,0,1,0,0,12,0.94,1,3,1,1,2,8,14,0,9,0.86,0.81,1
42,26,9,2,2,1,0,0,1,0,0,5,0.89,2,4,1,1,2,6,11,0,12,0.78,0.74,1
47,29,8,2,3,1,0,0,1,0,0,25,0.82,1,3,1,1,1,4,10,0,8,0.71,0.62,1
53,31,12,1,2,3,0,2,1,0,0,8,0.91,1,2,1,1,2,7,13,1,15,0.88,0.85,1
34,20,6,1,1,1,0,0,1,0,0,18,0.87,1,3,1,1,1,5,9,0,7,0.76,0.72,1
45,28,8,0,3,1,0,0,1,0,0,3,0.79,2,5,1,1,2,9,18,1,19,0.69,0.63,1
60,35,15,3,3,3,1,2,1,0,0,20,0.75,1,4,1,1,2,5,14,1,17,0.66,0.58,1
38,24,6,1,2,1,0,0,0,0,0,10,0.85,1,3,1,1,1,4,8,0,8,0.73,0.7,1
44,25,10,0,2,1,0,0,1,0,0,29,0.9,2,4,1,1,2,10,17,0,14,0.82,0.78,1
55,30,14,2,3,2,1,1,1,1,0,7,0.93,1,3,1,1,1,6,12,1,15,0.89,0.84,1
